Content,label,compound
Wszystkie drogi dojazdowe do Wuhan zostały zniszczone i zamknięte.All access roads to Wuhan were destroyed and closed. #China #Chiny #Китай #coronarvirus #koronawirus #ChinaVirus #WuhanVirus pic.twitter.com/hko8dcHQjN,-1,-0.4939
"Łapanka policji na kwarantannę? Ludzie bronią się tak, jakby mieli iść na pewną śmierć. (source:@ brother_chui)#WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2019 pic.twitter.com/T3m1sVNWP9",0,0.0
2 nowe przypadki #WuhanVirus i 1 nowa śmierć na Tajwanie.2 new #WuhanVirus cases and 1 new death in Taiwan.https://t.co/sYefRPZp7M,-1,-0.5994
"Uciekł ktoś z #Wuhan do innego miasta? No to się go zleje pałami ""za karę"", nawet ryzykując zarażeniem, któryś film tego typu. Pozdrawiam naszych youtuberów, zachwyconych Chinami. source:@  L3610N11#WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2020 pic.twitter.com/2eZFbSlcpB",-1,-0.296
Maximum eye power sia!#Singapore #Electionlailiao #GE2020 #Wuhanvirus #Coronavirus pic.twitter.com/kiCkEcDGyX,0,0.0
"Pojawiły się kolejne filmiki z furgonetkami zabierającymi zwłoki z prywatnych mieszkań, W jednej może się zmieścić 10 albo więcej ciał.  source:@ Mina32134295 #WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2019 #COVID19 pic.twitter.com/P4ZZMgBa73",0,0.0
- Bez maski nie wejdziesz. Musisz kupić!- Nie mam pieniędzy na zakup!- To wracaj tam skąd przyszłaś.#China #Chiny #Китай #coronarvirus #koronawirus #ChinaVirus #WuhanVirus pic.twitter.com/T8QRHchpqt,0,0.0
"Kolejny film pani @haniashen o wirusie i broni biologicznej. Pod filmem link do tajnego przemówienia chińskiego generała, dotyczącego planu zagłady cywilizacji zachodniej. Polecam! #WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2019  https://t.co/AYxenIBoP8",0,0.0
"Znowu w sieci pojawiają sie filmy z ciałami na ulicach Wuhan. Ale do Polski dalej każdy może wjechać, bez ograniczeń. Ta beztroska na pewno źle się skończy. source:@ CCPTrolling #WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2019 pic.twitter.com/xe0rbfk3sm",0,0.0
"Wysyłki częściowo jednak zostają wstrzymane mimo zapewnień, że do tego nie dojdzie. Sytuacja nie jest stabilna. #WuhanVirus #koronawirus #Aliexpress pic.twitter.com/nER3B1fury",0,0.0
VIDEO: #ChinaIt Feels like a ghost town with only a few survivors walking in the streets in China. All entryways sealed. No one around #COVID19#coronavirus #CoronaOutbreak #WuhanVirus pic.twitter.com/RyB1kfTMZp,-1,-0.25
The Communist Party government certainly won’t care if people living inside will survive or not. It’s not their business#WuhanCoronavirus #CoronavirusOutbreak #Coronavius #coronaviruschina #WuhanVirus #chinazi pic.twitter.com/CwLGEYTSUu,1,0.8074
People in #Wuhan #China lining up outside the largest chain store Zhongbei for buying meat. #coronavirus #CoronavirusOutbreak #COVID19 #Coronavirustruth #WuhanOutbreak #WuhanVirus #WuhanLockDown pic.twitter.com/oWQalcp9lk,0,0.0
"I want to voice up for myself, for Wuhan people, for my #Chinese people""All the news in CCTV are FAKE#Wuhan #Coronavirus #Wuhanvirus #ChinaVirus #COVID19pic.twitter.com/4I9zmokLCw",0,0.0772
"We've no trust in #HongKong govt.Apparently, it has no idea how to combat the #WuhanVirus outbreak. Even Singapore having known abt the epidemic later did better than HK.When it fails to stop ppl from evading mandatory quarantine, there's no way quarantine buildings 'll work. pic.twitter.com/bukKvE74ZX",-1,-0.6705
This situation is happening at each HK public hospital.... #WuhanVirus https://t.co/Jb2Y1F6YTB,0,0.0
#COVIDー19Respect all the nurses! pic.twitter.com/e4P8KevZST,0,0.0
"#WuhanLockDown #coronaviruschina #COVIDー19 Over 25,000 killed they have started shooting down all the people with the virus in China ( video shared by a reliable source in China ) pic.twitter.com/6llFWcRfS2",-1,-0.4767
"Coronavirus is much more Contagious then said before - Los Alamos Study says:  R0 4.7 - 6.6 ! Its not 2.2 like told before and not 1.2 like ""the flu""https://t.co/aZrvLAVeSu#COVIDｰ19 #Coronavirus",-1,-0.7355
"BREAKING: #COVIDー19 #COVID19 #coronavirus United States believes #China under reporting infections by at least 100,000 and deaths significantly higher pic.twitter.com/FpCKI8Lm3N",1,0.4215
"Arrival numbers from mainland China into HK via Shenzhen Bay checkpoint more than doubled in past week #CarrieLam fanning the fire while pretending to be putting out the fire#WuhanCoronavirus#COVIDー19  Credit, Apple Daily pic.twitter.com/Vk872TOahe",0,0.1531
I took a cab this morning and to my surprise this is what I found!! Prevention is better than cure! #COVIDー19 #Changchun  #China pic.twitter.com/FGG9kbygHq,1,0.7074
Which one is more dangerous - coming down with the #coronavirus or daring to tell the truth about it? #COVIDー19 https://t.co/vm3U7b9vwm,0,0.1045
#COVIDー19 calamity made by China. Book was published in 1981 pic.twitter.com/mcwd17FHQN,0,0.0
"Professor Neil Ferguson of Imperial College London: China is ""only detecting probably 5% of cases...so I think it's misleading to look at the Chinese case numbers."" Watch video below #coronavirus #COVIDー19 https://t.co/O7srXGFEFv",-1,-0.4019
United Airlines flight from US landed in Heathrow locked down when a passenger developed #COVIDｰ19 symptoms. #travelbannow #14daysglobalshutdownhttps://t.co/8rOEUSuCYS,1,0.4215
Bats and snakes are for sale at an  Indonesian market despite of govt request to take them off the menu over the fears of a link to the deadly coronavirus.#CoronavirusFrance #COVIDー19 #COVIDｰ19 #WuhanCoronavirus #WuhanPneumonia #Indonesia pic.twitter.com/9dKO0k0MdO,-1,-0.4215
Porn against boredom... 👍👍👍Cruise passengers offered free porn while on #COVIDー19 quarantinehttps://t.co/myqWy6DPxq,1,0.5106
#NCYT 5 billion people could end up with the virus!! How many test kits will they need then? @PrimerdesignLtd 😮😮😮😮😮🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀 #coronavirus #COVID19 #COVID2019 #COVIDー19        https://t.co/O8Te4PlXhE,0,0.0
"When what is happening in the world now gets made into a movie, we are in the opining credits, the montage of footage of the world getting worse as the names of the cast scroll across the screen. Its getting worse and the film has not even started. #COVIDー19 pic.twitter.com/eEeBMoK8gr",-1,-0.5719
Oh dear. I’ve been watching this for awhile. It got lost in the #COVIDー19 media frenzy. The fatality ratio for Ebola is 67% https://t.co/EVkpWqBdJd,-1,-0.7579
"I'm calling BS on this whole #Coronavius #COVIDー19 #hoax . The Chinese release a very infectious but very mild virus to the world, yet claim its a killer and start rounding up whoever they want to pull off the streets. They will never be able to hide the truth!",-1,-0.7088
"Very interesting interview with Xiao En, a former US Army virologist, who raises excellent questions about #nCoV_2019 #COVIDー19 #COVID2019 #COVID_2019 #SARSCoV2 https://t.co/HAvPDrIjZV",1,0.7713
Wuhan #coronavirus quarantine breakers being arrestedhttps://t.co/ljKZUgw718#COVIDー19,0,0.0
"Hang in there my friend! We are all hoping for the best! The first way to stop the spread of #COVIDー19  is quarantine, which is NOT about stigma. Most people understand those affected by it are not bad people, they are just sick or have been exposed to this deadly virus.",1,0.8039
THE CITY OF WUHAN AND PEOPLE WHO WORK THERE...😷#coronavirus #CoronavirusOutbreak #coronavirusjapan #coronavirusgermany #coronaviruschina #Coronavirusmexico #coronaviruswuhan #coronavirusthailand #COVIDー19 #coronavirususa #coronaviruscanada #coronavirusfrance #COVID19 pic.twitter.com/uPug3JHE8j,0,0.0
Curfew footage of a City in Communist China. #coronavirus #CCP is more blatant to turn China into a police state. pic.twitter.com/XlKO7Cq3uT,0,0.0
"A Japanese quarantine officer has been confirmed to be infected with the #Coronavirus, all because they listened to WHO's guidelines saying that they only had to wear a mask and gloves.This is the work of China bribing them - WHO is turning into Winnie Happy Organization. pic.twitter.com/rY64urBUDC",0,0.128
"Powerful. @NickKristof quotes Beijing law prof Xu Zhangrun’s raging essay which is now being passed around surreptitiously:”Faced with this virus, the Leader has flailed about. Although everyone looks to The One for the nod of approval, The One himself is clueless.” #Coronavirus https://t.co/6kYWWNlPMA",1,0.3612
"#Watch | #Coronavirus: China death toll surpasses 1,600@krishnaksays walks you through the report! pic.twitter.com/sROvGsA3eS",-1,-0.636
Unexpected February snow in #Wuhan as city remains on lockdown#coronavirus pic.twitter.com/owLhLu4afk,0,0.0
"#Coronavirus may have hit Hong Kong, protests may have decreased, but we will not forget the day police rushed into a train station and attacked citizens indiscriminately.We would never forget nor forgive.#HKPoliceBrutality #HKPoliceTerroristspic.twitter.com/GkJtf7sbum",-1,-0.351
Coping with Stress @WHO #Coronavirus pic.twitter.com/m4NJjLrXp0,-1,-0.4215
"🔴 ""Les traités de libre-échange sont le virus mortel de la globalisation""➡️Mon avis sur le traité de libre-échange #UE - #Vietnam #Bruxelles #Coronavirus pic.twitter.com/03Oa8dMYx0",0,0.0
"#Chine - L'hôpital #Huoshenshan appelé ""Vulcan Mountain"" construit  en 7 jours (Hôpital de 1000 lits) est inondé. Il y a de multiples fuites. #coronavirus #COVID19 pic.twitter.com/6l7e3mXZX1",0,0.0
"#Coronavirus 1 cas confirmé en #Egypte et le racisme anti-asiatique s'affiche sans complexe sur la porte d'un des plus célèbres resto chinois du Caire: ""Interdit d'entrer aux chinois""  / ""N'ayez pas peur, nous sommes tous égyptiens ici"" https://t.co/kFfazPcqN9",0,0.0
Is it all ok ? #coronavirus #SARSCoV2 pic.twitter.com/kYYjijdeiD,1,0.296
"When HKers call for a complete border closure to stop visitors from China, HK gov decided to welcome them by waiving toll fees of Hong Kong-Zhuhai-Macau Bridge until the epidemic ends. End? How?! HK is ruled/ruined by brainless puppets! #CoronavirusOutbreak #coronavirus pic.twitter.com/PF7ih4l6Uc",1,0.4106
Other countries.              China withWith sick people.           Sick people#coronavirus pic.twitter.com/fZgarvT1UY,-1,-0.765
"🇨🇳 FLASH - Lutte contre le #coronavirus : l'hôpital ""Montagne volcanique"" construit en quelques jours à #Wuhan est déjà délabré avec de nombreuses fuites d'eau signalées et des inondations locales notamment dans les chambres des patients. #COVID19  pic.twitter.com/uyFstFxTku",0,0.0
En empêchant le tourisme des pays asiatiques on empêche tout simplement la propagation du virus. Sauf que comme on est dirigé par des Picsou en puissance on prend le risque d'une épidémie en France. Quelle belle bande de cons. #coronavirus,0,-0.128
"♦️#Wuhan ♦️11 millions d’habitants toujours sous quarantaine,hôpitaux,gymnases,et lieux divers sont pleins à craquer de patients +ou - soignésCombien de personnes atteintes du #coronavirus combien de mortsle saurons-nous un jour❓Levons-nous pour Wuhanpic.twitter.com/dA82psK8HE",0,0.0
"🇫🇷 EPIDEMIE - À #Oyonnax en #France, une fille affirme avoir été tabassée dans son lycée car des élèves croyaient qu’elle avait le #coronavirus. Merci de relayer cet acte honteux. #COVID19 #COVID2019 pic.twitter.com/2uQUZ6hU7r",0,0.0
"En me réveillant et en découvrant que #JeSuisMila , #Kobe et le #coronavirus sont encore en TT pic.twitter.com/GcLAxCBCxD",0,0.0
🔴⭕ #Chine #Coronavirus Pour quelle raison ces fonctionnaires détruisent la nourriture d'une famille ?💥  pic.twitter.com/nm9pHSQvua,0,0.0
"#Chine - Les RS rapportent des centaines de cas filmés de personnes malveillantes qui essaient de diffuser le virus notamment dans les lieux publics, ascenseurs, mobilier urbain et de jet de morve et de glaire directement sur les sacs à main et habits... #coronavirus pic.twitter.com/o4zbhx0s8J",0,0.0
Quand le coronavirus voit que on a changé encore de nom #Coronavirus  #Coronavirius pic.twitter.com/TpyMZ3JaCJ,0,0.0
"🔴 #Chine #WuhanLongue file d'attente devant les supermarchés, alors quele prix de la nourriture a quadruplé ....#coronavirus pic.twitter.com/sx9o9G5t9L",0,0.0
#Chine - Les autorités chinoises  noient les chats et chiens errants de peur qu'ils soient porteurs du #coronavirus. #COVID19 pic.twitter.com/wQIkn4bdWH,0,0.0
🔴⭕#Chine #Coronavirus Un mort devant cette epiceriePersonne n'intervient et personne n'appelle à l'aide ! ⚡ pic.twitter.com/xeJUeErmTu,0,0.0
#coronavirus : 1 669 morts et 69 261 infectés(même la Maison Blanche ne croit pas les les chiffres divulgués par Pékin...) pic.twitter.com/E8jhJKVV2b,0,0.0
Not a bad spot - quite the pool #Singapore pic.twitter.com/Mx4KoafZHs,-1,-0.5423
"Employers in #Singapore not granting domestic workers human dignity, Exhibit #23423748293749: ""Ms Jaya cited a case where a domestic worker who went out during her rest day was not allowed to stay in her employer's house and her employment was terminated.” https://t.co/psTniO3yOx",0,0.1872
"So Sofitel, so #Singapore https://t.co/XFrzKo03W2 #Design hotel pic.twitter.com/DcQPuquSgK",0,0.0
Wie stark die Auswirkungen des  #coronavirus sind seht ihr hier. Der Flughafen von #Singapore wirkt wie ausgestorben. https://t.co/HxFqlyv3oF,-1,-0.5994
I like his sense of humour #coronavirus #Singapore pic.twitter.com/UPxeJJvfTz,1,0.6808
You are more likely to contract the #coronavirus stockpiling groceries in crowded supermarkets than dying of starvation in #singapore. A little water-fasting never hurt anyone.,1,0.3637
Maximum eye power sia!#Singapore #Electionlailiao #GE2020 #Wuhanvirus #Coronavirus pic.twitter.com/kiCkEcDGyX,0,0.0
"I've spent a lot of time in #Singapore & its hospitals, which are FAR superior to 90+% of American health facilities. This small, rich, well-organized, high-tech nation has arguably the best health syst on Earth. So pay heed, don't be smug, watch them battle #covid19 #2019nCoV . https://t.co/bOqUQhHTjV",1,0.7517
"#Singapore raised their #DORSCON level to orange and everyone went nuts.DORSCON: Don't Over React Singapore Can Or Not?Also why the hell are you guys clearing out the toilet paper shelves? When you panic, you can't keep it in is it? ???????AND it's 2020, use a bidet!",-1,-0.8793
"US have capitalism,China have communism,Singapore have kiasuism. #singapore pic.twitter.com/M0r30JCE3V",0,0.0
Kiasi virus more scary than wuhan virus sia! Summore this one also got no cure!#Singapore #Kiasi #Kiasu #WuhanVirus #Coronavirus pic.twitter.com/K39Iwakdl3,-1,-0.7412
Look at how detailed #Singapore #coronavirus update is. Wow well done. ???? pic.twitter.com/gPlmjULOfg,1,0.782
"Ich sags doch. Exit 16/34 bei nasser Piste. Der 380 kann sowas ?? #singapore(OK, ein go-around aber das ist nur zum ausprobieren gewesen ??) pic.twitter.com/BNrwhTHjdn",0,0.0
Schon nach dem ersten paar Stunden lässt sich festhalten: #Singapore ist eine geile Stadt!! Ich freue mich auf die kommenden Tage. Es gibt viel zu sehen und erkunden!,-1,-0.6981
@ChannelNewsAsia - are you sure there is 1 death in Singapore ??? —#Singapore #coronavairus pic.twitter.com/zJwyg1fXC7,-1,-0.4836
?? ?? ?? ?? ??#Singapore Colors... pic.twitter.com/0QxYK35Qdb,0,0.0
"Singapour #SingaporeZombieApocalypse #Singapore #SingaporeAirlines lou & the hollywood bananas ""les petites rues de singapour"" https://t.co/Laari9GVuj via @YouTube",0,0.0
DORSCON Alert Level #Singapore pic.twitter.com/NkUfVorPHl,1,0.296
"#Singapore raises risk alert, due to #2019nC0V #WuhanCoronvirus pic.twitter.com/FEqbqZPMEZ",0,0.0258
#coronavirus scare - #Singapore Airport on 06th Feb 2020 @SingaporeAir @ChangiAirport   World is coming to Virtual halt due to #Coronavirus pic.twitter.com/u4XjoslbCg,-1,-0.4939
Meanwhile in KL.. #singapore pic.twitter.com/h5vO4PVi0r,0,0.0
Read this! The #healthcare workers battling the #coronavirus on the frontline are HUMANS too! They deserved our utmost respect & not ostracised by the society. #coronavirussingapore #Singapore #Thoughts pic.twitter.com/nM6I3qmQdq,1,0.3786
"#coronavirus Update: My Worldwide Case CountJust updated: New cases in #Japan, #Singapore & #EgyptMany new cases & deaths in #ChinaNote: #China is likely downplaying the numbers#WuhanCoronavirus  #CoronavirusOutbreak#COVID19   #WuhanPneumonia pic.twitter.com/qnS14B4vEI",0,0.0
"#Singapore is the most infected country outside China and also has the highest population density. Updated 8:45 amTuesday, 11 February 2020 (SGT)#coronavirus #coronavirussingapore pic.twitter.com/12AVltkb1H",-1,-0.5413
"So this is the situation at NTUC FairPrice JEM this morning (8 Feb). The aftermath from last night. Due to the long queues at closing time, customers had to leave them aside#coronavirus #ncov #singapore pic.twitter.com/l22FayPib1",1,0.5267
#COVID?19 #Coronavirius #WuhanVirus Female nurses were forced to shave their heads before heading Wuhan??Barbers showed the carefully-preserved hair to the girls ??WHAT THE FUCK CAN YOU TELL WHERE THE FUCK DID THESE BASTARDS COME FROM¿¿¿¿¿¿ pic.twitter.com/4YB748NXwm,-1,-0.9593
The video shows how the CCP local officials tortured a young man who did not wear mask during #WuhanVirus #WuhanCoronavirusOutbreak https://t.co/PKxR04I8LA,-1,-0.5574
"Japonia. 85 nowych przypadków zarazenia #WuhanVirus  w Japonii. Znaleziono je na statku wycieczkowym „Diamentowa ksiezniczka” przy Jokohamie, podnoszac calkowita liczbe zarazonych osób na statku do 454.https://t.co/jjTw4TqcXS",0,0.0
Wirus nie wybiera.*The virus does not select.#China #Chiny #????? #coronarvirus #koronawirus #nCoV2019 #ChinaVirus #WuhanVirus #WuhanPneumonia #WuhanOutbreak #Wuhan pic.twitter.com/xwfZh6CGRA,0,0.0
"Jakby ktos nie wiedzial (nie pamietal) to przypominam, ze dzuma (czarna smierc) tez przybyla do Europy z Chin. ??   #WuhanPneumonia #WuhanVirus  #Wuhan #koronawirus  #coronavirus #nCoV2019 #COVID19   https://t.co/Z6b5s2BhMY",0,0.0
locust arrives china. netizens from china say: locust can cure pneumonia n might help surpress #wuhanvirus. locust is a delicious food.??????picture: apple daily. pic.twitter.com/vZSD7A6xY6,1,0.8105
The development of the #coronoavirus at the end of 16 February GMT.It looks that slowely the spreading is flattening out. But in Japan the number of infections are still rapidly rising. #WuhanVirus #CoronaOutbreak pic.twitter.com/DpnOlfoUsn,0,0.0772
Hubei province (includes Wuhan) around 60000 cases but 32000 medical workers sent to #Wuhan. It makes sense not lies here! #WuhanVirus pic.twitter.com/Jh2TfGmfVM,1,0.509
That is right . Name says it all. #Wuhan #WuhanSARS #WuhanVirus #WuhanVirus2020 #WuhanPneumonia #WuhanCoronavirus #WuhanCoronavirusOutbreak pic.twitter.com/oMivMYA61W,0,0.0
This is how Corona Virus came. #coronaviruswuhan #Coronavirus #coronavirusus #Coronavirustruth #Coronavirustoronto #Coronaviruscoverup #BioWeapon #2019nCoV #Beijing #WuhanVirus #WuhanCoronavirusOutbreak #WuhanCoronavius pic.twitter.com/gvqQPABjvY,0,0.0
I think this senator hit the nail on the head in this video.Hopefully the US government won't as inept as their British counterparts. FOLLOW ME FOR REGULAR VIDEO UPDATES DIRECT FROM CHINA#coronavirus#coronoavirusoutbreak #coronaviruswuhan#WuhanVirus #COVID19 #CoronavirusWho pic.twitter.com/Yu47rrRUBP,0,0.0
+12 dead bodies on the street within moments.  The stats don't account for these bodies. #WuhanPneumonia #coronaviruswuhan #CoronavirusOutbreak #wuhan #WuhanCoronavirus #???? #WuhanVirus #WuhanLockDown #coronavirus #COVID19 . #coronaviruschina pic.twitter.com/Zr6UzpAPEi,-1,-0.7399
Why wuhan city on fire? #WuhanVirus @SolomonYue https://t.co/WBOWtOMnqj,-1,-0.34
#WuhanVirus #deankoontz #theeyesofdarkness The Eyes of Darkness (book) was released in 1981 - written by Dean Koontz. The author writes about a deadly bioweapon 'Wuhan-400' pic.twitter.com/IOTkyjQVPv,-1,-0.25
"10% OF THE WORLD CURRENTLY IN LOCKDOWN: China now has 760 million people under quarantine. Let that sink in. 760. Million. People. More than half the country's population, according to New York Times.https://t.co/57woMvgSUF#COVID19 #nCov #Coronavirus #WuhanVirus",0,0.0
Posso pensare che è molto molto più pesante di quello che ci fanno vedere/sentire? Non si può morire così... poveri ????#WuhanVirus https://t.co/EuQEmGXkkf,0,0.0
+++ ULTIM’ORA +++Studenti italiani in Egitto saranno trasferiti a Wuhan per ragioni di sicurezza.#11febbraio #coronavirus #Egitto #Zaky #GiulioRegeni #Cina #WuhanVirus,0,0.0
Solidarietà per #Wuhan da Roma e dalla bellissima Italia.#WuhanJiayou #WoShiWuhanRen #????? #???? #WuhanOutbreak #WuhanVirus #WuhanCoronavirus pic.twitter.com/9RLYDSYaZP,0,0.0
"Oggi strammatizziamo, anche se c'e' tanta gente che soffre, a Wuhan come altrove, cinesi come altri, pazienti come tutti quelli che si prendono cura di loro.#wuhanjiayou #WoShiWuhanRen #coronavirus #wuhan #wuhancoronavirus #coronavirusoutbreak #wuhanvirus pic.twitter.com/l9hZwhHoNS",0,0.0
We know that there is not human rights for people in China before the virus.but after the virus we knew that there are not even animal rights for people.#wuhan #virus #wuhanvirus #china #ChinaziVirus #uighur pic.twitter.com/rdAHJsEOyn,0,0.0
La #Cina e sull’orlo di una guerra civile #coronavirus #WuhanCoronvirus #WuhanVirus #COVID19 #Wuhan #China pic.twitter.com/ilOWyziNGU,0,0.0
La #Cina da un disastro all’altro!#coronavirus#WuhanVirus #COVID19  pic.twitter.com/nUDMp33zkI,0,0.0
Non aveva la maschera e si rifiutò il test della temperatura !#coronavirus#WuhanVirus #WuhanPneumonia #WuhanOutbreak #COVD19 #Wuhan #China pic.twitter.com/LSyyQnG3wG,0,0.0
Coronavirus/2.Elena Dusi e Filippo Santelli ci svelano le 10 cose da sapere sul #WuhanVirus. pic.twitter.com/IcswdtDZeD,0,0.0
"Molto ma molto credibile #Chine #ChinaVirus#WuhanVirus #coronavirus Coronavirus, da Londra le accuse alla Cina: ""50mila contagi ogni giorno, così nascondono il disastro"" https://t.co/H9iGGKAV52",-1,-0.2023
"I don’t know about yours, but my social feeds are infected with tacky jokes about coronavirus involving Corona bottles, unwilling subjects, fake news, and second-hand humour.The coronavirus is a human tragedy, let's learn to empathize with others#COVID?19 #WuhanCoronavirus pic.twitter.com/hAH7TYyhQv",-1,-0.9331
Hong Kong gov't refuses to close the China border during #coronavirus epidemic but turns clinics in the residential area to #WuhanPneumonia clinics.Is this a joke? #COVID?19 pic.twitter.com/HPpyydzP6s,1,0.5588
"When survival instincts kick in, it's not gold, silver, or cash people fight over.. it's toilet paper. #4tsurvival is all about the most important things you won't be able to find in an emergency. Dont panic. Prepare. #COVID19 #COVID?19https://t.co/FNVp62Qpbu",-1,-0.7512
Certainly priority is for everyone to stay well and healthy #COVID?19 . Any timeline on crypto to fiat in xwallet..any possibility to launch this across many countries? @zibin,1,0.7622
