headline,label,compound
Alabama’s Near-Total Abortion Ban Blocked by Federal Judge,-1,-0.6908
"Gregg Jarrett: Adam Schiff’s drive to impeach Trump based on opinions, deception and illusions – Not facts",-1,-0.4404
November’s Democratic presidential debate will be held at Tyler Perry Studios,0,0.0
40 conservative groups sign ethics complaint against Pelosi,-1,-0.296
Bernie Sanders Refuses to Bow to Israel,0,0.0
Trump talks big on overseas terrorism — but here at home he's making the problem worse,-1,-0.8885
"Nation's Largest Coal Producer, And Trump Booster, Files For Bankruptcy",0,0.0
Israel asked U.S. to condition Lebanon aid on Hezbollah missile factory shutdown,0,0.0
'You don’t boo the president': Fox News guest demands Nationals fans 'held accountable' for Trump boos,0,0.0
Tlaib tells Walker to 'shush' over swipe at Sanders event,0,0.0
Criminal Indictments Could Be Coming in ‘Russiagate’,-1,-0.5267
U.S. State Department official knew Trump attorney involved in campaign against ambassador,0,0.0
"Jared Kushner, Human Paperweight, Says He’s “Cleaning Up” Biden’s Messes",0,0.0
Biden’s Fans Want Him to Improve Small Donor Fundraising. His Campaign Is Doubling Down on the Rich.,1,0.7783
"Amazon Is on the Attack Against Kshama Sawant – Since first winning office in 2013, Seattle socialist city councilmember Kshama Sawant has pushed a $15 minimum wage, landmark renters’ rights legislation, free public transit, and more. Which is why Amazon has declared war on her.",1,0.34
Trump's Ukraine dishonesty barrage continues. He made 96 false claims last week,0,0.0
Andrew Yang Launches Six-Figure Digital Ad Buy in Early Voting States,0,0.0
Trump’s Worst Month in Office Was One of Mike Pence’s Best,0,0.0258
Pete Buttigieg Is Still Fighting the Last War - A lifelong obsession with reforming the Democratic Party's rhetoric has trapped the South Bend mayor in the politics of the past.,-1,-0.9042
Top Iowa Democrats say Joe Biden has done everything wrong in the state,-1,-0.3182
Warren says college athletes should be able to unionize after NCAA move,0,0.0
Trump faces severe suburban slump,-1,-0.3818
"The American Bar Association Has Just 'Outdone Itself' With Anti-Conservative Bias, Says Judicial Group",0,-0.1027
Gig-Economy Giants Want California Voters to Shield Them From New Law,0,0.0772
“Our Lives Are Not Tragedies”: A Conversation on Disability Rights,0,0.0
"Number of uninsured children rises for second year, tops 4 million",1,0.5574
Trump allies accuse Purple Heart recipient Vindman of disloyalty,-1,-0.2023
McConnell: Impeachment Measure Denies Trump ‘Basic Rights’,-1,-0.4215
San Francisco man launches gubernatorial candidacy to run false ads on Facebook about President Trump,0,0.0
"The Revolution Is Here: Democrats Ignore It at Their Peril - With the majority of people holding progressive views, the way to get no-shows to show is not to back centrist policies, it’s to run on values that favor the people, and that are supported by the majority of Americans.",1,0.3612
Joe Biden denied Holy Communion at church in S.C. for abortion views,-1,-0.4404
Rudy Giuliani Crawled Through the Big Loophole in the Mueller Report,0,0.0
A world of rising risks and little leadership,-1,-0.2732
U.S.-China trade deal might not be ready for signing in Chile: U.S. official,-1,-0.2755
Army Veteran says attacks by Trump allies on wounded warrior purple heart recipient vindman are disgusting.,-1,-0.743
Why I Haven’t Gone Back to SCOTUS Since Kavanaugh,0,0.0
Taxes Can Make 'Medicare For All' More Popular — Or Less,1,0.4754
Assessing the GOP’s sense of decency,0,0.0
President Trump’s alternate reality on Ukraine,0,0.0
Ilhan Omar just proved herself an anti-Semite,0,0.0
Will There Be an Edward R. Murrow of the Trump Era?,0,0.0
Joe Biden Repeatedly Asked Federal Agencies To Do What His Son’s Lobbying Clients Wanted,0,-0.0772
Alyssa Milano to Co-Host Fundraiser for Joe Biden,0,0.0
"Ex-Rep. Livingston pressed for Ukraine ambassador's firing, says witness",-1,-0.34
GOP Sen. Ron Johnson keeps popping up in key aspects of Trump's Ukraine scandal,-1,-0.4404
"Funding 'Medicare-for-all' with taxes on the rich 'impossible,' study says",1,0.5574
Lawyer for CIA officer accusing Trump on Ukraine worked with Biden on 2007 whistleblower complaint,-1,-0.4404
Trump promised to eliminate the national debt. It has risen by $3 trillion.,0,0.0
Why GM is backing Trump in his fight against California,-1,-0.3612
There's a New Name on the List of Americans Who Stood Up for the Republic,0,0.0
McAleenan resolves standoff and will testify at threats hearing on Wednesday,-1,-0.2732
"A decade after massive bailout, AIG celebrated on Capitol Hill",1,0.5106
USA TODAY/Suffolk Poll: Biden's lead over Warren narrows in a turbulent Democratic field,0,0.0
Republicans Have Only Three Choices,0,0.0
White House official says transcript of Ukraine call omitted key phrases: report,0,0.0
Trump downplayed central role Kurds played in Baghdadi raid after abandoning them in Syria,0,-0.0516
"Impeachment: Republicans reject foreign election help, poll finds",0,0.0
Fed cuts rates but indicates a pause is ahead,0,-0.1531
"Firsthand account of Trump’s Ukraine call puts GOP in bind, emboldens Democrats",0,0.0
Facebook doesn't have to run paid ads peddling politicians' lies,-1,-0.4215
"Bolton Warned Me About Giuliani's Role in Ukraine, State Department Official Will Testify",-1,-0.2732
"Steve Bannon Targeted 'Incels' Because They Are 'Easy to Manipulate,' Cambridge Analytica Whistleblower Says",1,0.4404
"Harris to cut some staff, redeploy others to Iowa in campaign shakeup",-1,-0.4019
llhan Omar votes 'present' on bill condemning Armenian genocide,0,0.0
Court temporarily blocks release of Mueller grand jury materials,1,0.2732
State Dept officials to offer new details about Trump’s shadow diplomacy with Ukraine,0,0.0
Trump Proposal May Force West Virginia Students To Become Ineligible For Free School Lunches,1,0.5106
Senior US counterterrorism official says ISIS has a 'deep bench',0,0.0
Obama’s Wake-Up Call to the Woke: Don’t Blow This for Us,0,0.0
Missouri's state health director says he tracked Planned Parenthood patients' periods,0,0.0
"Alexander Vindman and a Brief History of the GOP Smearing Veterans — Despite claiming to be the party that best idolizes veterans, Republicans are more than willing to slander them when it's politically useful.",1,0.8689
Trump and his allies attack Purple Heart recipient to defend against impeachment,-1,-0.4767
"Analysts decry ""smear campaign"" against Lt. Col. Alexander Vindman as Trump allies attempt to undermine witness",-1,-0.5719
"Judge Napolitano: This impeachment process needs to be judged on merits, not process",1,0.4019
Trump’s Deficits Are an Existential Threat to Conservatism. A movement built around limiting the burden that Government places on Citizens could be crushed by staggering Debt.,-1,-0.891
Manufacturing Is Now Smallest Share of U.S. Economy in 72 Years,1,0.296
"Facebook, Google, Twitter urged to do more to combat fake news in EU",-1,-0.722
Britain heads towards Brexit election as Labour backs early poll,0,-0.0516
"Stocks cling to gains on trade optimism, mixed earnings knock Europe",1,0.7096
UK police hunt for two brothers from Northern Ireland over truck deaths,0,0.0
Trump says likely Baghdadi successor killed by U.S. troops,-1,-0.5574
"Hezbollah, Amal supporters wreck Beirut protest camp, Hariri looks set to quit",-1,-0.25
"Iraqi security forces open fire on protesters, kill 14",-1,-0.765
Trump Ukraine adviser to testify about concerns over call,0,0.0
Ukrainian officials will not testify in U.S. impeachment inquiry - foreign minister,0,0.0
Stronger winds whip California fires as power cut and homes evacuated,0,0.128
London Fire Brigade failings worsened Grenfell Tower death toll - report,-1,-0.9081
"After Boeing crashes, jet design rules to get tougher for all",0,0.1779
"Beirut protesters' camp attacked, tents set on fire - TV footage",-1,-0.743
Pfizer raises 2019 forecast on surging cancer drug sales,-1,-0.6597
Saudi Aramco aims to begin planned IPO on Nov. 3 - sources,0,0.0
Johnson tells cabinet: we need election to end parliamentary paralysis,0,0.0
Men attack protest camp in central Beirut - Reuters witness,-1,-0.6249
"Advent wins EU approval for Cobham deal, still waiting for UK nod",1,0.7783
Hong Kong bars activist Joshua Wong from district poll,0,0.0
Hong Kong pro-democracy activist Joshua Wong barred from running in district elections,0,0.0
Boeing CEO to face tough questions from U.S. lawmakers,0,-0.128
Pentagon announces F-35 jet prices for next three years,0,0.0
GM earnings beat lifts shares but U.S. strike weighs on outlook,0,-0.0387
"Oil slips to $61 on OPEC+ doubts, U.S. inventories in view",-1,-0.296
Tesla filing shows U.S. third-quarter sales dropped 39%,0,0.0
"Trump, Xi meeting date is still fluid: White House official",0,0.0
60 percent of Americans support marijuana legalization — times are changing,1,0.4019
McAleenan could stay longer as White House eyes loophole for Cuccinelli as possible successor,1,0.2263
Trump Takes His Insults to a New Low,-1,-0.5994
Trump White House Wants Direct Control Over Where Cars Are Made,0,0.0
"Facebook has detected a covert Russian influence campaign in Africa, and it has worrying implications for the 2020 US election",-1,-0.34
Trump Posts Faked Photo Of Him Giving Medal To Hero Dog,1,0.8442
This impeachment process is totally infair to Rupublicans!,0,0.0
British family suing Trump administration for 'lawless misconduct' in fatal crash involving diplomat's wife,-1,-0.8074
One of the seven remaining Democratic impeachment holdouts announces support for inquiry resolution,1,0.4019
House Votes To Recognize Armenian Genocide,0,0.0
Democratic Senator Seeks Review of Pompeo Adherence to Bar on Political Activities,0,0.0
Suddenly Ken Starr doesn’t like impeachment so much,1,0.3612
Democrats Angle to Distract amid Impeachment Fury in Congress,-1,-0.7096
Bernie Says He Doesn’t Need to Release ‘Exact Detailed’ Plan on Funding Medicare for All,0,0.0
9th Circuit Court nominee cries during Missouri senator’s questioning over ABA’s criticisms,-1,-0.6124
House panel advances resolution outlining impeachment inquiry,0,0.0
White House May Try To Sneak Trump’s Ineligible DHS Pick In Through Loophole | Administration officials are reportedly exploring a loophole that would allow Trump to bypass a federal law to appoint Ken Cuccinelli or another favored pick.,1,0.5719
Are Trump’s policies causing kids in Miami to lose their health insurance?,-1,-0.4019
Seventy percent of US Millennials say they are likely to vote socialist,0,0.0
Virginia state elections offer early political test ahead of 2020 U.S. race,0,0.0
Booing a Lawless President Is a Patriotic Act,0,0.0
Gabbard stokes fears among Democrats,-1,-0.4215
How can GOP senators serve as impeachment jurors when they're implicated in Trump's misdeeds? Ron Johnson and Marsha Blackburn are tied to Russian money and Trump's conspiracy theories. They're not alone,-1,-0.3939
Hillary Clinton's slur raises Tulsi Gabbard's profile,0,0.0
The 'AOC effect' is real – and it's helping wean the Democrats off mega-donors,1,0.296
Ilhan Omar votes against Turkey sanctions bill: Harms civilians,-1,-0.4939
Downer conspiracy accuser George Papadopoulos to run for Congress,-1,-0.5267
Sentencing delayed for wife of Rep. Duncan Hunter,-1,-0.3612
Biden allies file paperwork to create super PAC,1,0.7184
Diplomats say they're in a 'strange parallel universe' amid impeachment probe,-1,-0.2023
Trump's Already Freaking Out Over Today's Impeachment Testimony. This Weeks' Star Witness Hasn't Even Testified Yet.,-1,-0.4215
Trump celebrates 1.9 percent GDP growth. He blasted the exact same number under Obama.,1,0.765
New testimony raises questions about the White House “transcript” of Trump’s phone call with Ukraine’s president,0,0.0
"White House staffer twice raised concerns after listening to Trump's Ukraine call, testimony reveals",0,0.0
Bill would help California’s inmate firefighters pursue career after release,1,0.4019
Robert Reich: 2020 Is About Oligarchy vs. Democracy—And There's Only One Choice Here That Will Allow The Democrats To Win,1,0.6908
NJ is 5th-most-segregated state in U.S. for black children. A lawsuit could mean big changes,-1,-0.2263
Judges rule city doesn't have to pay family for destroying home during manhunt,-1,-0.5113
Inside The Key Meeting In Trump’s Ukraine Conspiracy,-1,-0.5267
NSC official Alexander Vindman’s testimony appears to contradict Rick Perry’s claims about Ukraine,-1,-0.3182
Why are Democratic party elites so desperate for a 2020 centrist candidate? - Is the core concern of those who consider themselves ‘moderate Democrats’ that Warren or Sanders might win?,1,0.6448
"Trump got booed at the World Series. But more 'civility' won't fix America. | ""Lock him up"" chants aren’t the starting or ending point for this epoch of American history. But the reaction to this event is illustrative.",0,0.0
Medicare for All Odds Pegged Near ‘Zero’ at Cantor on High Cost,0,0.0
Reporter Who Broke Katie Hill Story Called Herself 'Campaign Manager' for Hill's GOP Opponents,-1,-0.4215
"How Trump tries to keep the Senate GOP on his side: Lots of calls, a little strategy",0,0.0
"Colonel testifies he raised concerns about Ukraine, Trump",0,0.0
"Since they realized insulting an army officer isn't a good look, Republicans are changing their impeachment strategy",-1,-0.6814
Judge strikes down Pittsburgh gun-control,-1,-0.3612
Trump Sued By Environmental Groups Over Plans to Drill for Oil in California,0,0.0
Here’s how share buybacks get used to transfer billions of dollars to senior management under the guise of returning cash to shareholders,1,0.296
Tucker Carlson and Guest Blame Diversity and ‘Woke’ Culture for California Fires,-1,-0.34
Maine ACA enrollment expected to drop as state continues its Medicaid expansion,-1,-0.2732
Trump Baghdadi blurting hurts US operations and national security,0,-0.1779
In Defense of Tulsi Gabbard,0,0.128
"US effort to remove ‘sexual health’ from UN agreement may violate law, say senators",0,0.0
House Passes Resolution Recognizing Armenian Genocide,0,0.0
Mitch McConnell: Impeach resolution denies Trump ‘basic rights’,-1,-0.4215
Chuck Schumer says he is ‘increasingly worried’ Trump will shut down the government to distract from impeachment probe,-1,-0.296
"Bernie Sanders Reclaims Lead in New Hampshire Primary, Latest Poll",0,0.0
Mulvaney excluded from planning for raid on ISIS leader: report,-1,-0.34
Top Democrats warn that Joe Biden risks “humiliating” third- or fourth-place finish in Iowa,0,-0.1779
How would public hearings work in the Trump impeachment inquiry? A key House panel has approved rules,1,0.4215
Katie Hill's resignation is a travesty. This is not what justice looks like,-1,-0.7332
House Seeks To Rebuke Turkey With Vote On Armenian Genocide,0,0.0
Is Trump trying to unleash the Border Patrol on all of America?,0,0.0
"More Than 10,000 People Call on Congress to Investigate Amazon’s Surveillance Empire",0,0.0
Republican's mockery of Sanders and socialism backfires,-1,-0.3182
Former Senate Republican says Trump sounds like a dictator,1,0.3612
The Wisdom of the Crowd,1,0.5267
"In Chicago Speech, Former FBI Director Comey Dishes on President Trump",0,0.0
Ex-Biden aide forms super PAC: 'Unite the Country',1,0.5994
Senate blocks effort to roll back Trump administration's ObamaCare rule,-1,-0.2263
"Harris bashes Trump for Vindman criticism, calling the president 'a disgrace'",-1,-0.7269
Sanders: U.S. Should Withhold Military Aid Unless Israel ‘Fundamentally Changes’ Relationship With Gaza,0,0.0
CNN Poll: Sanders and Warren fight for home field in New Hampshire,-1,-0.3818
‘Traitor’: Stonewall Democrats slam pro-Trump gay congressional candidate.,-1,-0.3818
"By Trump’s 2012 Standards, the Economy Is in the Toilet",0,0.0
Eight coal companies have filed for bankruptcy since Trump took office,0,0.0
Senate Democrats fail in bid to block Trump’s Obamacare opt-out,-1,-0.7506
"John Bolton warned about Giuliani's influence over Ukraine policy in June, official to testify",-1,-0.2732
"GOP strategist warns of ""three-alarm fire"" after Democratic challengers out-fundraise Republican senators in three states",-1,-0.34
Scott Walker's Legacy of Getting Played by FoxConn Lives On,1,0.34
DOJ Calls Flynn Out On ‘Extraordinary’ Claim That He’s Actually Innocent,1,0.34
Not Over Yet: New US Syria Mission After Al-Baghdadi's Death,-1,-0.5994
"If Trump Is Impeached or Defeated, Conservatives Will Call It a ‘Coup’",-1,-0.4767
Middleman helped Saudi give to Obama inaugural,0,0.0
Bolton slated to testify next week as part of impeachment inquiry into Ukraine,0,0.0
Senator threatens bill to tax college athletes' scholarships if they take endorsement money,0,-0.0772
Chuck Schumer wants whistleblower protections for Ukraine expert Alexander Vindman after impeachment testimony,0,0.0
Russia May Not Be the Only Threat to U.S. Elections in 2020,-1,-0.5267
'Stunning': Boeing CEO Dennis Muilenburg drilled by Senate after 737 Max crashes,0,0.0
Sen. Rob Portman is the profile of a Trump enabler,-1,-0.5574
U.S. Aid Makes Corrupt Countries More Corrupt,0,0.0
"National Security Council official expected to testify, departing role soon: Sources",1,0.34
Ex-California governor says Trump's war on clean car rules 'commercially suicidal',-1,-0.7717
Democrat accuses immigration chief of pursuing white supremacist ideology,-1,-0.2263
Immigration dispute with Trump admin costs small Colorado towns,-1,-0.4019
"In Massive Slight, Trump Left Mulvaney Out Of Baghdadi Raid Operation",0,0.0
Diplomat will tell impeachment inquiry that Bolton cautioned him about Giuliani and Ukraine,0,0.0
Who Exactly Are Biden’s Bundlers?,0,0.0
State Department Witness: White House Blocked 2018 Statement Condemning Russia for Attacking Ukraine,-1,-0.6249
Facebook employees tell Zuckerberg politicians who lie shouldn’t be protected,1,0.4404
Study Says Funding Medicare-for-All With Taxes on Rich Is ‘Impossible’,1,0.5574
Impeachment investigators invite John Bolton to testify,0,0.1531
Ukraine says its officials won't testify in impeachment inquiry,0,0.0
MSNBC’s Nicolle Wallace Bashes ‘Chickenshit’ Pro-Trump Pundits for Smearing Vindman,0,0.0
Press Watch: New evidence that Trump's extortion attempts damaged national security,0,-0.128
Amazon pours $1.5 million into remaking Seattle’s City Council,0,0.1779
Trumpworld’s New Impeachment Defense: Smear Iraq War Hero As a Spy,-1,-0.3182
Rex Tillerson to Take the Stand in Exxon Climate Change Case,0,0.0
Bernie Sanders Pitches Presidential Candidacy In Front Of Empty Store Shelves,-1,-0.2023
Facebook’s political ads policy is predictably turning out to be a disaster,-1,-0.6249
Trump’s own Russia ambassador nominee: The Ukraine stuff is problematic,-1,-0.4404
DC Appeals Court Halts Mueller Report Disclosures At the Last Minute,0,0.0
Mega-Donor Ambassadors Are Corrupting American Diplomacy,0,0.0
"ABA Says Trump Judicial Nominee ‘Not Qualified’ on Eve of Hearing, Conservatives Call It ‘Political Drive-By Shooting’",0,0.0
"As Growth Slows To 1.9%, The Economy Is Falling Short Of Trump's Target",1,0.25
Could a Long Impeachment Trial Derail the Senators Running for President?,-1,-0.296
"In Another Bipartisan Rebuke of Trump, House Votes for Sanctions Against Turkey",0,0.0
The Nations In America’s Backyard Are Falling Apart While The U.S. Remains Stuck In The Middle East,-1,-0.3818
Re: Nomination of Lawrence J.C. VanDyke to the United States Court of Appeals for the Ninth Circuit,1,0.4215
California is on fire. This Republican ‘solution’ will only stoke the flames,-1,-0.34
"Elizabeth Warren fans are beginning to ditch the 2020 competition, which is exactly what she needs right now",0,0.0
The Worst Trump Cabinet Member? You Picked a Real Winner,0,-0.0772
North Carolina’s Congressional Gerrymander Is Dead | And Republicans have no way out of drawing fair maps.,-1,-0.6369
Trump’s Oil Obsession Is a War Crime,-1,-0.8689
Trump's attempt to force feed China U.S. farm products stymies trade talks,0,0.0
Why Trump's attacks on the impeachment inquiry are good for Putin,0,0.0
What Do Scholars Say About the Impeachment Power?,0,0.0
"Tulsi Gabbard, Andrew Yang trounce Kamala Harris in New Hampshire",0,0.0
The Latest: NSC adviser Morrison resigns on eve of testimony,-1,-0.3182
Sanders campaign hits back at Biden: 'He is once again peddling dishonest insurance company talking points',-1,-0.5719
"In Santa Barbara, Ady Barkan turns a fatal disease into political action",-1,-0.5423
"Trump Sides With Indicted Oligarch Over His Own Diplomat | The President of the United States amplified a tweet calling one of his diplomats a liar—and, by implication, absolving a Ukrainian gas mogul of any mob ties.",1,0.6597
The White House Official Who Listened To Trump’s Ukraine Call Says The Transcript Was Edited,0,0.0
It Sure Sounds Like Trump Pulled the Baghdadi “Whimpering” Story Out of His Ass,0,0.0772
Mulvaney was left in the dark on al-Baghdadi operation,0,0.0
"National Security Council staffers uneasy, fear Trump backlash",-1,-0.5267
Democrats Grill Trump's Nominee For Russia Ambassador Over Ukraine,0,0.0
Impeachment witness says transcript of Trump-Zelenskiy call was not complete,0,0.0
Alabama's near-total abortion ban blocked by federal judge,-1,-0.6908
"‘Knowing that it’s a lie now, I just feel terrible,’ says actress from anti-Whipple ad",0,0.0
"In fiery Senate hearing, Boeing admits its safety assessments of 737 Max fell short",1,0.3818
President Obama on being woke and cancel culture: 'That's not activism' - POLITICO,-1,-0.25
Trump assumes Obama's mantle as the 'king of debt',-1,-0.3612
The League of Anti-Environmental Extremists | A new poll suggests the Trump administration—packed to the brim with industry lapdogs and climate skeptics—is significantly more anti-environment than the American public is.,0,0.0
US troop withdrawal from Syria could put region on path to stability and peace,1,0.5574
Lt. Col. Vindman Says Author of ‘Nunes Memo’ Misrepresented Himself as Ukraine Expert,0,0.0
U.S. appeals court blocks release of unredacted Mueller report pending appeal,-1,-0.2263
Debunking 4 Viral Rumors About the Bidens and Ukraine,0,0.0
Officer Testifying In Impeachment Query Is Jewish Refugee From Ukraine,0,0.0
"A majority of Virginia voters want Democrats to control legislature, CNU poll finds",0,0.0772
Trump and allies try to undermine impeachment witness Vindman's credibility,-1,-0.296
House impeachment investigators ask John Bolton to testify,0,0.0
Another new poll shows the extent of the overlap between Fox News and defenders of Trump,0,0.0772
Top national security aide said White House transcript does not include mention of Burisma and other details from Trump call,1,0.4939
Joe Biden: I'm getting beat up because 'I'm not the socialist',0,0.0
Trump approval rating drops among men,1,0.4767
Joe Biden to attend Seattle fundraiser co-hosted by Amazon general counsel,0,0.1779
"The Lies Corporate Media Tell When Bernie Sanders Is ""Extreme"" and Trump's GOP Is ""Mainstream"" - The modern Republican Party is as extreme as any major party in our history.",1,0.3818
Roger Stone still raising funds for defense days before trial begins,0,0.128
'Shadow Network' Offers A Lesson On The American Right's Mastery Of Politics,0,0.0
The Trump Administration Has Accepted Zero Refugees This Month,1,0.2732
Trump tweets altered image of himself bestowing medal on hero dog,1,0.7717
Billionaire Barry Diller: I’d vote for Elizabeth Warren over Donald Trump,0,0.0
Ex-Trump adviser George Papadopoulos running for Congress,0,0.0
Democrats ask court to force DOJ's hand on Mueller grand jury materials,1,0.7351
Amazon’s Cash Complicates Seattle’s Bold Plan to Limit Corporate Influence,1,0.3818
Trump’s Best Option for Avoiding Impeachment: An Apology,1,0.4588
Fed lowers US interest rate for third time this year,1,0.3612
"'We're keeping the oil' in Syria, Trump says, but it's considered a war crime",-1,-0.9022
Limbaugh wrongly claims Republicans are being shut out of impeachment hearings,0,0.0
Trump Shares Faked Photo of Hero Dog Getting a Medal,1,0.836
No Trump thanks for service of Army men turned impeachment witnesses,0,0.1779
"Retirees, lawyers and investors powering House Democrats in Trump-won districts",0,0.0
Fox News smears Iraq War hero Alexander Vindman as possible spy for testifying about Trump call,0,-0.0772
Republican Sen. Roy Blunt blocks vote on voting rights bill that would require Trump to disclose his tax returns,-1,-0.2263
Russians are meddling in the Democratic primary. Is anyone paying attention?,0,0.0
Facebook let a fake page posing as the Trump campaign run political ads,-1,-0.4767
The plight of military veterans who face deportation spark discussion on Capitol Hill,1,0.2263
Trump and the problem of ‘minoritarian populism’,-1,-0.4019
North Carolina ruling could cost GOP House seats,0,0.0
Biden uses National Cat Day to fundraise for putting a 'pet back in White House',0,0.0
Buttigieg distances himself from his McKinsey consulting days,0,0.0
Russia Tests New Disinformation Tactics in Africa to Expand Influence,1,0.3182
GOPer On Foreign Affairs Committee Admits He Hasn’t Gone To A Single Impeachment Hearing,1,0.296
"Omar Refuses To Recognize Armenian Genocide, Gives Bizarre Statement; Refuses To Sanction Turkey For Actions In Syria",-1,-0.3182
Omar Gets A Primary Challenger In Organizer John Mason,0,0.128
Trump is shooting holes in the Constitution. Will Republicans let him get away with it?,0,0.0
It’s the End of California as We Know It,0,0.0
Trump Wants You to Know He’s Smart Enough to ‘Do Quid Pro Quo’,1,0.4019
Amazon spends big bucks to remake Seattle's liberal City Council,0,0.1779
"Romney, Manchin want new rescue committees to address trust fund solvency",1,0.7845
Bolton Asked To Testify In Impeachment Probe But Likely Won't Unless Courts Make Him,0,0.0
Tulsi Gabbard doesn't qualify for Iowa Democrats' event,0,0.0
The U.S. Only Pretends to Have Free Markets,1,0.4404
Report: Saudi National Used A Middleman To Send Hundreds Of Thousands Of Dollars To The US For Obama Inauguration,0,0.0
Parnas associations range from Russian mob to Trump legal team,0,0.128
The surprise voting bloc Bernie is banking on to win the nomination,1,0.7096
Every time Trump has attacked American veterans or military families,-1,-0.4588
Tulsi Gabbard: Release documents related to Saudis and 9/11,0,0.0
Sanders and Warren base their wealth taxes on misleading numbers,0,0.128
Trump's criminal justice reform record fraught with contradiction,-1,-0.25
Democratic leaders walk back Thursday impeachment vote,0,0.0
Tom Brokaw says Democrats don't have 'the goods' on Trump like they did with Nixon,1,0.3612
"Bernie Sanders on socialism, taxes and why he thinks fossil fuel executives are ‘criminals’",0,0.0
"Tucker Carlson And Guest Blame Wildfires On Liberals, Diversity",-1,-0.34
"Donald Trump Takes His ‘Buffoonery’ on the Road, Trashing Chicago and Its Top Cop in Speech Before Law Enforcement Group",1,0.2023
Pentagon official doesn't know where Trump got details about al-Baghdadi raid,0,0.0
Leaked Audio of Payday Loan Executive Bragging About White House Access Reveals 'Quid Pro Quo' Top Trump Donors Enjoy,1,0.4019
Russian ambassador nominee says Giuliani had hand in Ukraine ambassador's removal,1,0.4939
"Fed to cut rates again, but other economic concerns are emerging ahead of election: CNBC survey",0,-0.1406
Vindman offers a firsthand account of critical episodes in alleged quid pro quo,-1,-0.3182
